Year,work,salaryMale,salaryFemale,timeMale,timeFemale
98,礦業及土石採取業,54430,30762,183.4,176.9
98,製造業,44437,31341,180.3,177.6
98,電力及燃氣供應業,99436,75109,172.9,168.8
98,用水供應及污染整治業,45062,40863,184.5,178.1
98,營造業,42677,30874,175.7,169.9
98,批發及零售業,43301,36977,176.4,175.4
98,運輸及倉儲業,50269,42040,183.6,172.7
98,住宿及餐飲業,29510,25481,170.6,169
98,資訊及通訊傳播業,66948,55899,169.4,168.5
98,金融及保險業,75950,62695,168.5,167.7
98,不動產業,40968,36274,183.8,179.7
98,專業、科學及技術服務業,54288,44959,174.5,173.1
98,支援服務業,32119,30969,196.9,177.9
98,教育服務業,25119,21074,138.5,141.9
98,醫療保健服務業,95989,48000,173.3,173.7
98,藝術、娛樂及休閒服務業,37461,24653,183.2,184.9
98,其他服務業,34211,26780,184.6,202.1
99,礦業及土石採取業,56872,34940,187,177.2
99,製造業,48012,33965,190.5,186.7
99,電力及燃氣供應業,99134,79061,173.7,170.1
99,用水供應及污染整治業,45760,42961,184.5,176.1
99,營造業,43682,30244,177.9,172.8
99,批發及零售業,44805,38879,176.5,176
99,運輸及倉儲業,50968,43963,185.1,173.2
99,住宿及餐飲業,30523,25838,173.1,170.7
99,資訊及通訊傳播業,69756,57830,170.5,169.4
99,金融及保險業,83495,68450,169.2,168.6
99,不動產業,42465,39465,182.3,178.3
99,專業、科學及技術服務業,57092,48191,176.1,173.6
99,支援服務業,32981,31598,201.9,182.6
99,教育服務業,25267,21325,137.9,139.5
99,醫療保健服務業,94984,48541,175,175
99,藝術、娛樂及休閒服務業,38918,25990,180.2,181.9
99,其他服務業,36153,27320,186.6,202
100,礦業及土石採取業,57731,38012,182.4,177.7
100,製造業,49289,34651,187.2,182.2
100,電力及燃氣供應業,98058,77726,171.1,167.8
100,用水供應及污染整治業,46398,43940,180.1,174.1
100,營造業,45009,30825,178.7,175.5
100,批發及零售業,45904,39410,174.6,173.5
100,運輸及倉儲業,52260,45281,182.6,171.4
100,住宿及餐飲業,32078,27988,168.5,169.4
100,資訊及通訊傳播業,72177,59490,168.4,167.6
100,金融及保險業,87673,70230,166.4,165.6
100,不動產業,42324,41573,182.6,176.1
100,專業、科學及技術服務業,60194,49551,174.9,170.6
100,支援服務業,33329,32669,202.8,181.9
100,教育服務業,25106,21278,131.9,136.5
100,醫療保健服務業,97083,50584,173.4,174
100,藝術、娛樂及休閒服務業,39283,26799,181.3,182.8
100,其他服務業,37727,28970,188.8,202.3
101,礦業及土石採取業,56440,37519,183.6,179.3
101,製造業,49404,35357,185.6,181.5
101,電力及燃氣供應業,95885,73552,177.6,169.6
101,用水供應及污染整治業,44423,41297,179.7,175.5
101,營造業,45030,30697,178.8,173.2
101,批發及零售業,44946,38906,174.3,172.3
101,運輸及倉儲業,52418,44991,184.9,172.6
101,住宿及餐飲業,32474,28401,169.6,172.3
101,資訊及通訊傳播業,73090,59999,168.8,168.4
101,金融及保險業,87651,71997,168.1,167.1
101,不動產業,39311,39876,182.5,178.5
101,專業、科學及技術服務業,61960,49953,174.9,172.2
101,支援服務業,33479,33803,203.6,180.9
101,教育服務業,25556,21645,122.1,136.6
101,醫療保健服務業,96682,50970,170.4,175.8
101,藝術、娛樂及休閒服務業,41965,28328,183.3,182.8
101,其他服務業,37477,29318,191,200.7
102,礦業及土石採取業,57708,41831,182.6,177.3
102,製造業,49425,35624,185.5,181.5
102,電力及燃氣供應業,91533,72173,175.8,167
102,用水供應及污染整治業,44779,42045,180.3,175
102,營造業,44879,30539,175.5,171.3
102,批發及零售業,45590,39212,172.9,170.3
102,運輸及倉儲業,52123,44498,182.6,171
102,住宿及餐飲業,33108,28598,168.8,170.6
102,資訊及通訊傳播業,71451,58862,166.7,166
102,金融及保險業,86863,72380,164.4,164.7
102,不動產業,39601,41039,182.1,177
102,專業、科學及技術服務業,60483,49679,174.4,169.2
102,支援服務業,34145,33540,200.7,175.4
102,教育服務業,26042,21585,119.9,137
102,醫療保健服務業,95665,50764,170.1,174
102,藝術、娛樂及休閒服務業,42528,28794,179,182.5
102,其他服務業,38405,29592,190,199.7
103,礦業及土石採取業,57463,41204,181.9,176.5
103,製造業,50974,36746,186.1,182.8
103,電力及燃氣供應業,96809,76904,177.2,168.3
103,用水供應及污染整治業,45221,43508,180.7,175
103,營造業,45364,32255,176.7,172.8
103,批發及零售業,47798,41403,173.8,172.2
103,運輸及倉儲業,52407,44799,182.8,172.3
103,住宿及餐飲業,33925,30119,169.5,168.9
103,資訊及通訊傳播業,72727,59153,166.9,165.4
103,金融及保險業,90433,78547,165.9,165.5
103,不動產業,42984,42841,182,177.5
103,專業、科學及技術服務業,62663,51364,176.2,170.9
103,支援服務業,35000,34818,201.8,176.2
103,教育服務業,27422,22747,124.5,139
103,醫療保健服務業,96517,52560,172.1,172.9
103,藝術、娛樂及休閒服務業,42156,28898,178.6,178.6
103,其他服務業,40386,31146,188.4,196.6
104,礦業及土石採取業,56391,42176,178.6,175.5
104,製造業,52853,37892,183.4,179.6
104,電力及燃氣供應業,99346,78969,176.2,166.8
104,用水供應及污染整治業,44385,43515,177.1,170.3
104,營造業,45323,33104,172.8,168.9
104,批發及零售業,48437,42845,171.6,170.2
104,運輸及倉儲業,53841,45660,181.3,171.1
104,住宿及餐飲業,34870,30894,168.6,166.1
104,資訊及通訊傳播業,72677,59576,166,164.2
104,金融及保險業,93015,79552,162.4,162.4
104,不動產業,42268,42433,178.6,175.8
104,專業、科學及技術服務業,63364,52489,172.3,168.6
104,支援服務業,35731,35610,198.6,174.4
104,教育服務業,27045,23060,124.1,136.8
104,醫療保健服務業,99187,55631,171.1,172.5
104,藝術、娛樂及休閒服務業,43613,28366,178.7,176.6
104,其他服務業,39607,30833,185,192.7
105,礦業及土石採取業,54753,40900,173.7,169.7
105,製造業,53227,38500,176.6,172.8
105,電力及燃氣供應業,97157,77556,173.5,163.5
105,用水供應及污染整治業,43053,42156,170.7,161.7
105,營造業,44675,33367,166.5,165.4
105,批發及零售業,48325,42825,165.5,163.6
105,運輸及倉儲業,54864,46516,175.3,166.4
105,住宿及餐飲業,34745,31020,164.9,162.5
105,資訊及通訊傳播業,73885,60826,161.7,160.5
105,金融及保險業,92136,81258,163.2,162.6
105,不動產業,40775,41866,170,167.2
